num,time
1493,0.000010
1500,0.000010
1511,0.000010
1518,0.000010
1525,0.000010
1529,0.000010
1533,0.000010
1537,0.000010
1541,0.000010
1543,0.000010
1550,0.000010
1552,0.000011
1562,0.000010
1573,0.000010
1584,0.000010
1588,0.000010
1591,0.000010
1598,0.000010
1605,0.000010
1613,0.000013
1617,0.000010
1624,0.000010
1628,0.000010
1631,0.000010
1634,0.000010
1637,0.000010
1640,0.000010
1642,0.000010
1651,0.000010
1658,0.000010
1662,0.000010
1669,0.000010
1673,0.000010
1676,0.000010
1680,0.000010
1685,0.000010
1688,0.000010
1690,0.000010
1693,0.000010
1699,0.000010
1709,0.000010
1716,0.000010
1723,0.000010
1726,0.000010
1729,0.000010
1733,0.000010
1739,0.000010
1741,0.000010
1743,0.000010
1745,0.000010
1750,0.000010
1754,0.000010
1757,0.000010
1761,0.000010
1776,0.000010
1780,0.000010
1787,0.000010
1790,0.000010
1794,0.000010
1802,0.000011
1809,0.000010
1824,0.000010
1828,0.000010
1832,0.000010
1836,0.000010
1845,0.000010
1849,0.000010
1856,0.000008
1864,0.000010
1868,0.000010
1871,0.000010
1875,0.000010
1879,0.000010
1883,0.000010
1891,0.000010
1906,0.000010
1910,0.000010
1914,0.000010
1925,0.000010
1929,0.000010
1937,0.000010
1941,0.000010
1945,0.000010
1949,0.000010
1953,0.000010
1957,0.000010
1961,0.000010
1963,0.000005
1967,0.000010
1971,0.000010
1984,0.000014
1986,0.000006
1990,0.000010
2005,0.000010
2009,0.000010
2013,0.000010
2020,0.000010
2024,0.000010
2028,0.000010
2033,0.000013
2035,0.000007
2037,0.000010
2040,0.000010
2047,0.000010
2050,0.000010
2054,0.000010
2057,0.000010
2061,0.000010
2064,0.000010
2068,0.000010
2076,0.000013
2079,0.000007
2082,0.000010
2086,0.000010
2089,0.000010
2092,0.000010
2095,0.000010
2098,0.000010
2105,0.000010
2116,0.000010
2120,0.000010
2123,0.000010
2127,0.000010
2134,0.000010
2144,0.000009
2147,0.000010
2154,0.000010
2158,0.000012
2165,0.000010
2172,0.000010
2175,0.000010
2183,0.000012
2190,0.000010
2197,0.000010
2200,0.000010
2203,0.000010
2210,0.000010
2213,0.000010
2215,0.000010
2219,0.000010
2223,0.000010
2234,0.000010
2238,0.000007
2241,0.000010
2244,0.000010
2249,0.000010
2252,0.000010
2256,0.000010
2259,0.000010
2263,0.000010
2266,0.000010
2268,0.000010
2271,0.000010
2274,0.000010
2278,0.000010
2281,0.000010
2284,0.000010
2292,0.000011
2299,0.000010
2311,0.000010
2319,0.000012
2334,0.000010
2335,0.000010
2337,0.000010
2338,0.000010
2345,0.000010
2349,0.000010
2358,0.000010
2360,0.000010
2368,0.000010
2372,0.000010
2383,0.000010
2390,0.000010
2398,0.000010
2402,0.000010
2406,0.000010
2421,0.000010
2428,0.000010
2439,0.000010
2446,0.000010
2449,0.000010
2456,0.000010
2460,0.000010
2467,0.000010
2471,0.000010
2475,0.000011
2478,0.000009
2482,0.000010
2493,0.000010
2497,0.000010
2503,0.000010
2506,0.000010
2513,0.000010
2516,0.000010
2523,0.000010
2527,0.000010
2530,0.000010
2534,0.000010
2538,0.000012
2544,0.000010
2555,0.000010
2558,0.000010
2562,0.000010
2566,0.000010
2574,0.000010
2578,0.000010
2582,0.000010
2586,0.000010
2590,0.000012
2597,0.000010
2601,0.000010
2605,0.000010
2609,0.000010
2613,0.000010
2616,0.000010
2619,0.000010
2623,0.000010
2631,0.000010
2639,0.000010
2643,0.000010
2645,0.000005
2661,0.000010
2665,0.000012
2668,0.000008
2672,0.000010
2676,0.000010
2679,0.000010
2683,0.000010
2691,0.000010
2698,0.000010
2702,0.000010
2706,0.000010
2710,0.000010
2714,0.000010
2718,0.000010
2725,0.000013
2730,0.000010
2738,0.000010
2742,0.000010
2762,0.000010
2766,0.000010
